Categorie,Sous_categorie,Tag,Question,Réponse,Article_reference,,,
Droit du travail,Dispositions générales,Définition d'activité,Que signifie « activité professionnelle » dans le contexte de cette loi ?,Cela fait référence à toute forme de travail rémunéré effectué par un individu sous la direction d'un employeur.,"Article 1, Loi 28-2008",,,
Droit du travail,Dispositions générales,Travailleurs étrangers,Quelles pourraient être les implications de cette loi pour les travailleurs étrangers ?,Les travailleurs étrangers exerçant leur activité professionnelle au Burkina Faso sont également soumis aux dispositions de cette loi.,"Article 1, Loi 28-2008",,,
Droit du travail,Dispositions générales,Exceptions,Y a-t-il des exceptions à l'application de cette loi mentionnées dans d'autres articles ?,"Oui, d'autres articles peuvent préciser des catégories de travailleurs ou d'employeurs qui ne sont pas couverts par cette loi.","Article 1, Loi 28-2008",,,
Droit du travail,Dispositions générales,Respect des dispositions,Comment un employeur peut-il s'assurer qu'il respecte les dispositions de cette loi du travail ?,"En se renseignant sur les obligations légales, en consultant des experts en droit du travail, et en mettant en place des pratiques conformes.","Article 1, Loi 28-2008",,,
Droit du travail,Dispositions générales,Droits des travailleurs,Que doit faire un travailleur pour se prévaloir des droits garantis par cette loi du travail ?,"Le travailleur doit être informé de ses droits, et en cas de violation, il peut porter plainte auprès des autorités compétentes.","Article 1, Loi 28-2008",,,
Droit du travail,Dispositions générales,Importance de la loi,Quelle est l'importance de la promulgation de cette loi du travail pour le marché du travail au Burkina Faso ?,"La loi vise à réguler les relations de travail, à protéger les droits des travailleurs, et à établir des normes de travail équitables.","Article 1, Loi 28-2008",,,
Droit du travail,Dispositions générales,Suivi des articles,"Quels articles suivent celui-ci dans le code du travail, et quelles thématiques abordent-ils ?","Les articles suivants pourraient traiter des définitions, des droits des travailleurs, des obligations des employeurs, etc.","Article 1, Loi 28-2008",,,
Droit du travail,Dispositions générales,Conséquences de non-application,Quelles sont les conséquences d'une non-application de cette loi du travail par les employeurs ?,"Les employeurs pourraient faire face à des sanctions légales, à des amendes, ou à des actions en justice de la part des travailleurs.","Article 1, Loi 28-2008",,,
Droit du travail,Dispositions générales,Définition de travailleur,Comment définit-on un « travailleur » selon la loi du travail ?,"La loi considère comme travailleur toute personne qui s’est engagée à mettre son activité professionnelle moyennant rémunération, sous la direction et l’autorité d’une autre personne, physique ou morale, publique ou privée, appelée employeur.","Article 2, Loi 28-2008",,,
Droit du travail,Dispositions générales,Statut de l'employeur,Quelles sont les implications du statut juridique de l'employeur dans cette définition ?,"Pour la détermination de la qualité de travailleur, il n’est tenu compte ni du statut juridique de l’employeur ni de celui de l’employé.","Article 2, Loi 28-2008",,,
Droit du travail,Dispositions générales,Rémunération,Quelle forme de rémunération est requise pour être considéré comme travailleur ?,"Toute forme de rémunération est acceptée, qu'elle soit salariale, commission, ou autre, tant qu'elle est en échange de l'activité professionnelle.","Article 2, Loi 28-2008",,,
Droit du travail,Dispositions générales,Relation de travail,Quelles sont les caractéristiques de la relation entre un travailleur et un employeur ?,"La relation doit être sous la direction et l’autorité d'une autre personne, physique ou morale.","Article 2, Loi 28-2008",,,
Droit du travail,Dispositions générales,Types d'employeurs,Qui peut être considéré comme employeur selon cet article ?,"Un employeur peut être une personne physique ou morale, publique ou privée.","Article 2, Loi 28-2008",,,
Droit du travail,Dispositions générales,Cas particuliers,Y a-t-il des cas où une personne ne serait pas considérée comme travailleur ?,"Oui, des situations spécifiques peuvent être déterminées par d'autres lois ou articles concernant les travailleurs.","Article 2, Loi 28-2008",,,
Droit du travail,Dispositions générales,Exclusion de critères,Pourquoi ne tient-on pas compte du statut juridique de l'employé ?,"Pour garantir l'égalité et la protection des droits des travailleurs, indépendamment de leur statut ou de leur situation personnelle.","Article 2, Loi 28-2008",,,
Droit du travail,Dispositions générales,Protection des travailleurs,Quels droits sont garantis aux travailleurs selon cette définition ?,"Les travailleurs bénéficient des protections et droits établis dans le Code du travail, quelle que soit la nature de leur emploi.","Article 2, Loi 28-2008",,,
Droit du travail,Dispositions générales,Application de la loi,Comment cette définition impacte-t-elle l'application de la loi du travail ?,"Elle élargit le champ d'application de la loi, en incluant un plus grand nombre de personnes sous la protection des droits du travail.","Article 2, Loi 28-2008",,,
Droit du travail,Dispositions générales,Contrats de travail,Quel type de contrat est nécessaire pour qu'une personne soit reconnue comme travailleur ?,"Aucun type de contrat spécifique n'est nécessaire, tant que la relation de travail existe conformément à la définition.","Article 2, Loi 28-2008",,,
Droit du travail,Dispositions générales,Exemptions,Qui est exclu de l'application de la loi du travail selon cet article ?,"Les agents de la fonction publique, les magistrats, les militaires, les agents des collectivités territoriales, et tout travailleur régi par une loi spécifique.","Article 3, Loi 28-2008",,,
Droit du travail,Dispositions générales,Fonction publique,Pourquoi les agents de la fonction publique sont-ils exclus ?,Ils sont soumis à des lois spécifiques régissant leur statut et leurs relations de travail.,"Article 3, Loi 28-2008",,,
Droit du travail,Dispositions générales,Statut des magistrats,Quelle est la raison de l'exclusion des magistrats de cette loi ?,Les magistrats sont régis par des règles et lois spécifiques qui régissent leur fonction et leur emploi.,"Article 3, Loi 28-2008",,,
Droit du travail,Dispositions générales,Statut des militaires,Quelles sont les particularités de l'emploi des militaires par rapport à la loi du travail ?,Les militaires sont soumis à un régime juridique spécifique qui régule leur service et leur emploi.,"Article 3, Loi 28-2008",,,
Droit du travail,Dispositions générales,Collectivités territoriales,Quelles sont les implications pour les agents des collectivités territoriales ?,Ils sont également régis par des lois spécifiques qui peuvent différer de celles du Code du travail.,"Article 3, Loi 28-2008",,,
Droit du travail,Dispositions générales,Lois spécifiques,Quelles sont les lois spécifiques qui peuvent régir d'autres travailleurs ?,"D'autres travailleurs peuvent être régis par des lois spécifiques à leur profession ou secteur d'activité, excluant ainsi l'application du Code du travail.","Article 3, Loi 28-2008",,,
Droit du travail,Dispositions générales,Égalité de traitement,Que signifie cette exclusion pour l'égalité de traitement des travailleurs ?,Cela signifie que les droits et obligations peuvent varier selon le statut et la réglementation spécifique applicable à chaque groupe.,"Article 3, Loi 28-2008",,,
Droit du travail,Dispositions générales,Contrats de travail,Les travailleurs exclus ont-ils des contrats de travail ?,"Oui, mais ces contrats sont soumis aux régulations spécifiques de leur secteur ou de leur statut.","Article 3, Loi 28-2008",,,
Droit du travail,Dispositions générales,Impact sur les droits,Quel impact cette exclusion a-t-elle sur les droits des travailleurs concernés ?,Ils sont protégés par des lois différentes qui peuvent offrir des droits et protections spécifiques.,"Article 3, Loi 28-2008",,,
Droit du travail,Dispositions générales,Application de la loi,Comment cette exclusion influence-t-elle l'application de la loi du travail ?,Elle limite le champ d'application de la loi du travail aux seuls travailleurs non mentionnés dans l'article.,"Article 3, Loi 28-2008",,,
Droit du travail,Dispositions générales,Discrimination,Qu'est-ce qui est considéré comme une discrimination en matière d'emploi ?,"La discrimination en matière d'emploi est toute distinction, exclusion ou préférence qui altère l'égalité de chance ou de traitement en matière d'emploi.","Article 4, Loi 28-2008",,,
Droit du travail,Dispositions générales,Interdiction,Est-ce que la loi interdit tous les types de discrimination ?,"Oui, toute forme de discrimination en matière d'emploi et de profession est interdite par la loi.","Article 4, Loi 28-2008",,,
Droit du travail,Dispositions générales,Définitions,"Comment la loi définit-elle un ""travailleur"" ?","Selon la loi, un travailleur est toute personne qui met son activité professionnelle en échange d'une rémunération sous la direction d'un employeur, sans tenir compte du statut juridique de l'employeur ou de l'employé.","Article 2, Loi 28-2008",,,
Droit du travail,Dispositions générales,Critères de discrimination,Quels critères sont pris en compte pour déterminer si une action est discriminatoire ?,"Les critères incluent la race, la couleur, le sexe, la religion, l’opinion politique, le handicap, l’état de grossesse, l’ascendance nationale et l’origine sociale.","Article 4, Loi 28-2008",,,
Droit du travail,Dispositions générales,Égalité de traitement,Comment les travailleurs peuvent-ils signaler une discrimination au travail ?,"Les travailleurs peuvent signaler une discrimination auprès de leur employeur, des syndicats ou des autorités compétentes en matière de travail pour qu'une enquête soit menée et des mesures soient prises.","Article 4, Loi 28-2008",,,
Droit du travail,Dispositions générales,Impact de la discrimination,Quelles conséquences une discrimination peut-elle avoir sur un travailleur ?,"La discrimination peut entraîner des désavantages tels que l'accès limité à des emplois, des promotions ou des conditions de travail équitables. Les travailleurs discriminés peuvent également éprouver des effets négatifs sur leur santé mentale et leur bien-être.","Article 4, Loi 28-2008",,,
Droit du travail,Dispositions générales,Lutte contre la discrimination,Quelles mesures peuvent être prises pour lutter contre la discrimination au travail ?,"Les employeurs peuvent mettre en place des politiques de diversité et d'inclusion, organiser des formations sur la sensibilisation à la discrimination et établir des mécanismes de plainte pour traiter les cas de discrimination signalés.","Article 4, Loi 28-2008",,,
Droit du travail,Dispositions générales,Responsabilité des employeurs,Quelles sont les responsabilités des employeurs concernant la discrimination ?,"Les employeurs ont la responsabilité de créer un environnement de travail exempt de discrimination, d'appliquer des politiques anti-discrimination et de prendre des mesures appropriées lorsque des incidents de discrimination sont signalés.","Article 4, Loi 28-2008",,,
Droit du travail,Dispositions générales,Exemples de discrimination,Quels sont quelques exemples de discrimination en milieu professionnel ?,"Des exemples incluent le refus d'embauche basé sur la race ou le sexe, des promotions inéquitables en raison de l'origine sociale, ou le harcèlement basé sur l'orientation sexuelle.","Article 4, Loi 28-2008",,,
Droit du travail,Dispositions générales,Protection des droits,Quelles protections sont offertes aux travailleurs contre la discrimination ?,"Les travailleurs sont protégés par la loi contre toute forme de discrimination, leur garantissant un traitement équitable et des recours en cas de violation de leurs droits.","Article 4, Loi 28-2008",,,
Droit du travail,Dispositions générales,Travail forcé,Qu'est-ce qui est considéré comme travail forcé ou obligatoire ?,"Le travail forcé ou obligatoire désigne tout travail exigé d’un individu sous la menace d’une peine ou d’une sanction, sans que l’individu ne se soit offert de plein gré.","Article 5, Loi 28-2008",,,
Droit du travail,Dispositions générales,Interdiction,La loi interdit-elle toutes les formes de travail forcé ?,"Oui, la loi interdit explicitement le travail forcé ou obligatoire sous toutes ses formes.","Article 5, Loi 28-2008",,,
Droit du travail,Dispositions générales,Menaces,Quelles sont les menaces qui peuvent caractériser le travail forcé ?,"Les menaces peuvent inclure des peines ou sanctions, qu'elles soient physiques, psychologiques ou économiques, exercées sur l’individu pour l’obliger à effectuer un travail.","Article 5, Loi 28-2008",,,
Droit du travail,Dispositions générales,Exemples de travail forcé,Quels sont des exemples de situations pouvant constituer du travail forcé ?,"Des exemples incluent l’obligation de travailler sous la menace de sanctions disciplinaires, l’exploitation de travailleurs migrants, ou la coercition de travailleurs à des fins politiques.","Article 5, Loi 28-2008",,,
Droit du travail,Dispositions générales,Coercition,Qu'est-ce qui est considéré comme coercition au travail ?,"La coercition au travail comprend l’utilisation de menaces, de violence ou de pression pour obliger un individu à exécuter un travail qu'il n'a pas accepté de faire volontairement.","Article 5, Loi 28-2008",,,
Droit du travail,Dispositions générales,Mesures politiques,La loi permet-elle le travail forcé à des fins politiques ?,"Non, la loi interdit explicitement l’utilisation du travail forcé pour des raisons politiques, y compris pour sanctionner ceux qui expriment des opinions politiques.","Article 5, Loi 28-2008",,,
Droit du travail,Dispositions générales,Discipline au travail,Quelles sont les conséquences si un employeur impose des sanctions en cas de refus de travail ?,"Si un employeur impose des sanctions pour obliger un employé à travailler, cela peut constituer une violation de la loi sur le travail forcé, exposant l’employeur à des sanctions légales.","Article 5, Loi 28-2008",,,
Droit du travail,Dispositions générales,Discrimination,Comment la loi traite-t-elle le travail forcé basé sur la discrimination sociale ou raciale ?,"La loi interdit le travail forcé basé sur toute forme de discrimination, y compris sociale, raciale, nationale ou religieuse, protégeant ainsi les individus contre des pratiques abusives.","Article 5, Loi 28-2008",,,
Droit du travail,Dispositions générales,Participation à des grèves,Quelles sont les protections pour les travailleurs qui participent à des grèves ?,"La loi protège les travailleurs contre les sanctions pour avoir participé à des grèves, affirmant qu'aucun travailleur ne peut être puni pour avoir exercé son droit de grève.","Article 5, Loi 28-2008",,,
Droit du travail,Dispositions générales,Recours en cas de violation,Que peuvent faire les travailleurs s'ils sont soumis à du travail forcé ?,"Les travailleurs peuvent signaler le cas aux autorités compétentes, à des syndicats ou à des organismes de défense des droits pour obtenir protection et recours légaux.","Article 5, Loi 28-2008",,,
Droit du travail,Dispositions générales,Exemptions,Quels types de travaux ne sont pas considérés comme travail forcé selon la loi ?,"Ne sont pas considérés comme travail forcé : les travaux militaires, les obligations civiques normales, les travaux résultant d'une condamnation judiciaire sous surveillance publique, et les travaux exigés en cas de danger pour la communauté ou de force majeure.","Article 6, Loi 28-2008",,,
Droit du travail,Dispositions générales,Service militaire,Quelles sont les conditions pour le travail militaire ?,"Le travail militaire est exigé en vertu des lois nationales et concerne les travaux à caractère militaire, n'étant pas considéré comme travail forcé.","Article 6, Loi 28-2008",,,
Droit du travail,Dispositions générales,Obligations civiques,Qu'est-ce qui constitue des obligations civiques normales ?,"Les obligations civiques normales incluent des services attendus des citoyens, tels que le vote ou des tâches communautaires, et ne sont pas considérées comme du travail forcé.","Article 6, Loi 28-2008",,,
Droit du travail,Dispositions générales,Condamnation judiciaire,Quelles sont les conditions pour le travail exigé par une condamnation judiciaire ?,"Le travail résultant d'une condamnation doit être effectué sous la surveillance des autorités publiques et ne peut pas être cédé à des personnes ou sociétés privées, sauf aux associations d’utilité publique.","Article 6, Loi 28-2008",,,
Droit du travail,Dispositions générales,Force majeure,Quelles circonstances peuvent justifier des travaux en cas de force majeure ?,"Les travaux exigés en cas de force majeure, lorsque la vie ou les conditions normales d’existence de la communauté sont en danger, ne sont pas considérés comme du travail forcé.","Article 6, Loi 28-2008",,,
Droit du travail,Dispositions générales,Limites d'âge,Quelles sont les limites d'âge pour les travaux exempts de la définition de travail forcé ?,Les travaux cités aux points 1 à 4 ne peuvent être exigés que d'adultes valides âgés de 18 à 45 ans.,"Article 6, Loi 28-2008",,,
Droit du travail,Dispositions générales,Surveillance publique,Qui supervise le travail exigé suite à une condamnation judiciaire ?,"Ce travail doit être exécuté sous la surveillance et le contrôle des autorités publiques, garantissant que les droits des individus sont respectés.","Article 6, Loi 28-2008",,,
Droit du travail,Dispositions générales,Protection des travailleurs,Quelles protections sont en place pour les individus soumis à un travail en cas de force majeure ?,"Les travailleurs appelés à effectuer un service en cas de force majeure doivent être des adultes valides, et leurs droits doivent être respectés, avec des conditions de travail qui ne compromettent pas leur dignité ou leur santé.","Article 6, Loi 28-2008",,,
Droit du travail,Formation professionnelle,Conseil national de l’emploi,Quel est le rôle du conseil national de l’emploi et de la formation professionnelle ?,Le conseil est chargé des questions d’emploi et de formation professionnelle.,"Article 7, Loi 28-2008",,,
Droit du travail,Formation professionnelle,Composition et organisation,Qui détermine la composition et l’organisation du conseil national de l’emploi ?,Un décret en conseil des ministres fixe la composition et l’organisation du conseil national de l’emploi.,"Article 7, Loi 28-2008",,,
Droit du travail,Formation professionnelle,Attributions du conseil,Quelles sont les attributions du conseil national de l’emploi ?,Le décret en conseil des ministres précise les attributions du conseil national de l’emploi et de la formation professionnelle.,"Article 7, Loi 28-2008",,,
Droit du travail,Formation professionnelle,Fonctionnement du conseil,Comment est régulé le fonctionnement du conseil national de l’emploi ?,Le fonctionnement du conseil est fixé par un décret en conseil des ministres.,"Article 7, Loi 28-2008",,,
Droit du travail,Formation professionnelle,Définition de la formation,Comment la loi définit-elle la formation professionnelle ?,"La formation professionnelle est l’ensemble des activités visant à assurer l’acquisition de connaissances, qualifications et aptitudes nécessaires pour exercer une profession ou fonction déterminée.","Article 8, Loi 28-2008",,,
Droit du travail,Formation professionnelle,Conditions de formation,Quelles conditions s'appliquent lorsque l'employeur finance la formation du travailleur ?,"Lorsque l’employeur finance la formation, il peut exiger que le travailleur reste à son service pendant une période déterminée, proportionnelle au coût de la formation ou du perfectionnement.","Article 8, Loi 28-2008",,,
Droit du travail,Formation professionnelle,Décret sur la formation,Quel type de décret fixe les conditions de la formation professionnelle ?,Un décret en conseil des ministres fixe les conditions de la formation professionnelle.,"Article 8, Loi 28-2008",,,
Droit du travail,Orientation professionnelle,Définition de l'orientation,Que signifie l’orientation professionnelle dans le contexte de la loi ?,L’orientation professionnelle consiste à informer et guider les demandeurs d’emploi sur l’éventail des professions et à les aider à choisir une voie conforme à leurs aptitudes.,"Article 9, Loi 28-2008",,,
Droit du travail,Orientation professionnelle,Objectifs de l'orientation,Quels sont les objectifs de l'orientation professionnelle ?,"Les objectifs incluent l'information et le guidage des demandeurs d'emploi, notamment des jeunes, dans le choix de leur carrière en fonction de leurs aptitudes.","Article 9, Loi 28-2008",,,
Droit du travail,Orientation professionnelle,Modalités de mise en œuvre,Qui détermine les modalités de mise en œuvre de l’orientation professionnelle ?,Les modalités de mise en œuvre de l’orientation professionnelle sont précisées par un décret en conseil des ministres.,"Article 9, Loi 28-2008",,,
Droit du travail,Orientation professionnelle,Types de conseils offerts,Quels types de conseils sont offerts dans le cadre de l’orientation professionnelle ?,Des conseils et des consultations individuelles et collectives sont offerts pour guider les demandeurs d’emploi.,"Article 9, Loi 28-2008",,,
Droit du travail,Contrat de stage,Objectif du contrat,Quel est l'objectif principal du contrat de stage ?,L'objectif du contrat de stage est de favoriser la promotion de l'emploi et de la formation professionnelle.,"Article 10, Loi 28-2008",,,
Droit du travail,Contrat de stage,Définition du contrat,Qu'est-ce qu'un contrat de stage selon la loi ?,Un contrat de stage est une convention par laquelle un maître de stage s'engage à donner une formation professionnelle pratique à un stagiaire.,"Article 11, Loi 28-2008",,,
Droit du travail,Contrat de stage,Expérience acquise,Quel type d'expérience le contrat de stage vise-t-il à donner au stagiaire ?,Le contrat de stage vise à faire acquérir au stagiaire une expérience et des aptitudes professionnelles pour faciliter son accès à l'emploi et son insertion dans la vie professionnelle.,"Article 11, Loi 28-2008",,,
Droit du travail,Contrat de stage,Conditions de conclusion,Quand doit être conclu le contrat de stage ?,Le contrat de stage doit être conclu impérativement avant l'entrée du stagiaire dans l'entreprise.,"Article 12, Loi 28-2008",,,
Droit du travail,Contrat de stage,Forme du contrat,Quel est le format requis pour le contrat de stage ?,"Le contrat de stage doit être constaté par écrit dans la langue officielle, sous peine de nullité.","Article 12, Loi 28-2008",,,
Droit du travail,Contrat de stage,Droits de timbre,Le contrat de stage est-il soumis à des droits de timbre ou d’enregistrement ?,"Non, le contrat de stage est exempt de tous droits de timbre et d’enregistrement.","Article 12, Loi 28-2008",,,
Droit du travail,Contrat de stage,Conditions réglementaires,Qui règle les autres conditions de forme et de fond du contrat de stage ?,"Les autres conditions de forme et de fond, les obligations des parties et les effets du contrat de stage sont réglés par voie réglementaire par le ministre chargé du travail après avis de la commission consultative du travail.","Article 12, Loi 28-2008",,,
Droit du travail,Contrat de stage,Obligations des parties,Quelles sont les obligations des parties dans le cadre du contrat de stage ?,"Les obligations des parties sont fixées par voie réglementaire, après avis de la commission consultative du travail.","Article 12, Loi 28-2008",,,
Droit du travail,Contrat d’apprentissage,Définition du contrat,Qu'est-ce qu'un contrat d'apprentissage selon la loi ?,Le contrat d'apprentissage est le contrat par lequel un maître s’oblige à donner une formation professionnelle méthodique et complète à un apprenti.,"Article 13, Loi 28-2008",,,
Droit du travail,Contrat d’apprentissage,Obligations de l'apprenti,Quelles sont les obligations de l'apprenti dans le contrat d'apprentissage ?,L'apprenti doit se conformer aux instructions qu'il reçoit et exécuter les ouvrages qui lui sont confiés dans le cadre de son apprentissage.,"Article 13, Loi 28-2008",,,
Droit du travail,Contrat d’apprentissage,Forme du contrat,Quel est le format requis pour le contrat d'apprentissage ?,"Le contrat d'apprentissage doit être constaté par écrit, rédigé en langue officielle et, si possible, dans la langue de l’apprenti.","Article 13, Loi 28-2008",,,
Droit du travail,Contrat d’apprentissage,Droits de timbre,Le contrat d'apprentissage est-il soumis à des droits de timbre ou d’enregistrement ?,"Non, le contrat d'apprentissage est exempt de tous droits de timbre et d’enregistrement.","Article 13, Loi 28-2008",,,
Droit du travail,Contrat d’apprentissage,Conditions réglementaires,Qui détermine les conditions de forme et de fond du contrat d'apprentissage ?,"Le ministre chargé du travail, après avis de la commission consultative du travail, détermine par voie réglementaire les conditions de forme et de fond, les obligations des parties et les effets du contrat.","Article 14, Loi 28-2008",,,
Droit du travail,Contrat d’apprentissage,Examen de fin d'apprentissage,Quelles sont les étapes à suivre à la fin de la période d'apprentissage ?,L'apprenti doit passer un examen devant un organisme agréé qui lui délivre un certificat d’aptitude professionnelle en cas de succès.,"Article 15, Loi 28-2008",,,
Droit du travail,Contrat d’apprentissage,Conditions d'évaluation,Qui détermine les conditions d’évaluation de fin d’apprentissage ?,"Le ministre chargé de l’emploi, après avis de la commission consultative du travail, détermine par voie réglementaire les conditions d’évaluation de fin d’apprentissage.","Article 15, Loi 28-2008",,,
Droit du travail,Contrat d’apprentissage,Dommages et intérêts,Quelles sont les conséquences de l'embauche d'apprentis par un nouvel employeur ?,"L'embauche d'apprentis ouvre droit à des dommages et intérêts à la charge du nouvel employeur, au profit du maître de l’apprenti, sauf si le nouvel employeur prouve sa bonne foi.","Article 16, Loi 28-2008",,,
Droit du travail,Contrat d’apprentissage,Nullité du contrat,Quel est le résultat d'un nouveau contrat d'apprentissage conclu sans respecter les obligations du précédent contrat ?,Tout nouveau contrat d'apprentissage conclu sans que les obligations du précédent contrat aient été exécutées complètement ou sans résiliation légale est nul de plein droit.,"Article 17, Loi 28-2008",,,
Droit du travail,Activité de placement,Définition,Qu'est-ce que l'activité de placement selon la loi ?,L'activité de placement est le fait pour toute personne physique ou morale de servir d’intermédiaire pour trouver un emploi à un travailleur ou un travailleur à un employeur.,"Article 18, Loi 28-2008",,,
Droit du travail,Activité de placement,Type d'activité,Quelles sont les types d'activités de placement mentionnées dans la loi ?,L'activité de placement peut être publique ou privée. Les activités privées peuvent inclure la fourniture d’informations sur la recherche d'emploi sans rapprocher une offre et une demande spécifiques.,"Article 18, Loi 28-2008",,,
Droit du travail,Travail temporaire,Définition de l'entrepreneur,Qui est considéré comme entrepreneur de travail temporaire ?,"L'entrepreneur de travail temporaire est toute personne, physique ou morale, dont l’activité principale est de mettre à la disposition d’utilisateurs des travailleurs en fonction d’une qualification déterminée.","Article 19, Loi 28-2008",,,
Droit du travail,Services publics,Rôle dans le placement,Quel est le rôle des services publics chargés de l’emploi ?,"Ils peuvent recevoir les offres et demandes d’emploi et assurer des opérations de placement sur requête des employeurs, des travailleurs et des demandeurs d’emploi.","Article 20, Loi 28-2008",,,
Droit du travail,Publication des postes vacants,Obligation,Quelles sont les obligations des établissements publics concernant les postes d’emploi vacants ?,"Les établissements publics de l’État, les entreprises à participation publique et les projets financés sur fonds publics doivent publier les postes d’emploi vacants et organiser des tests de recrutement.","Article 21, Loi 28-2008",,,
Droit du travail,Recrutement collectif,Interdiction,Quand le recrutement collectif de travailleurs à l’extérieur est-il interdit ?,"Le recrutement collectif est interdit sauf autorisation préalable du ministre chargé du travail après avis des ministres chargés de l’emploi, des affaires étrangères et de l’administration territoriale.","Article 22, Loi 28-2008",,,
Droit du travail,Ouverture de bureaux de placement,Conditions d'ouverture,Quelles sont les conditions pour ouvrir un bureau de placement privé ?,L'ouverture de bureaux ou offices privés de placement et d’entreprises de travail temporaire doit respecter les dispositions légales et réglementaires.,"Article 23, Loi 28-2008",,,
Droit du travail,Agrément,Exigences,Quelles sont les exigences pour exercer une activité de placement ?,Les activités de placement ne peuvent être exercées que par des personnes physiques ou morales ayant obtenu un agrément délivré par le ministre chargé du travail après avis du ministre chargé de l’emploi.,"Article 24, Loi 28-2008",,,
Droit du travail,Conditions d'ouverture,Exigences supplémentaires,Que doit remplir une personne pour ouvrir un bureau de placement privé ?,Toute personne désirant ouvrir un bureau de placement ou une entreprise de travail temporaire doit remplir les conditions fixées par voie réglementaire par les ministres chargés du travail et de l’emploi.,"Article 25, Loi 28-2008",,,
Droit du travail,Discrimination,Interdiction,Les bureaux de placement peuvent-ils discriminer les travailleurs ?,"Non, ils ne doivent faire subir aucune discrimination aux travailleurs, conformément à l’article 4 de la loi.","Article 26, Loi 28-2008",,,
Droit du travail,Frais de placement,Interdiction,Les bureaux de placement peuvent-ils imposer des frais aux demandeurs d’emploi ?,"Non, ils ne doivent pas mettre à la charge des demandeurs d’emploi des honoraires ni d'autres frais, sauf dérogations pour certaines catégories de travailleurs et services spécifiquement identifiés.","Article 27, Loi 28-2008",,,
