Question,Réponse,Tag,
Quelles sont les conditions pour demander une modification de nom ou prénom ?,Vous devez avoir une ou des erreurs sur votre nom ou prénom.,procedure_modification_nom,
Où dois-je me rendre pour effectuer cette demande ?,Vous devez vous rendre au bureau de l'état civil compétent. (Ajoute des détails spécifiques si disponibles).,procedure_modification_nom,
Quelle est la procédure pour demander la succession par testament ?,"Le testament est un acte personnel par lequel le testateur transfère gratuitement tout ou une partie de ses biens à des bénéficiaires de son choix. Pour établir un testament, vous n'avez besoin d'aucune pièce spécifique. 

Conditions d'accès : Avoir au moins 20 ans et jouir de ses facultés mentales. Décider librement, sans être forcé par menace ou violence.",procedure_succession_testament,
Quelles pièces dois-je fournir pour établir un testament ?,Aucune pièce spécifique n'est requise pour établir un testament.,procedure_succession_testament,
Quel est le coût pour établir un testament ?,"Aucun coût direct pour le testament, mais des frais peuvent être appliqués lors de sa gestion par un notaire.",procedure_succession_testament,
Quelles sont les conditions pour établir un testament ?,"Vous devez avoir au moins 20 ans et jouir de vos facultés mentales. Vous devez également décider librement, sans être forcé par menace ou violence.",procedure_succession_testament,
Qui peut être bénéficiaire d'un testament ?,Tout individu ou entité désigné par le testateur peut être bénéficiaire d'un testament.,procedure_succession_testament,
Peut-on modifier un testament une fois établi ?,"Oui, un testament peut être modifié ou révoqué par le testateur à tout moment tant qu'il est en pleine possession de ses facultés mentales.",procedure_succession_testament,
Que se passe-t-il si le testament est contesté ?,"En cas de contestation, le tribunal peut examiner la validité du testament en fonction des lois en vigueur et des circonstances entourant son établissement.",procedure_succession_testament,
Quel est le rôle d'un notaire dans la succession ?,Un notaire peut aider à la gestion du testament et à la distribution des biens après le décès du testateur. Il peut également assurer que le testament respecte les formalités légales requises.,procedure_succession_testament,
Comment se déroule le transfert des biens ?,"Le transfert des biens se fait selon les dispositions du testament, et les bénéficiaires doivent suivre les étapes légales pour faire valoir leurs droits sur les biens hérités.",procedure_succession_testament,
Quelle est la procédure pour la succession selon la loi ?,"La succession est la manière de transmettre les biens, les droits et les dettes d’une personne décédée à ses héritiers. Elle intervient en cas de décès ou de déclaration de mort par le tribunal de grande instance. 

Pièces à fournir : Certificat de décès et certificat d'hérédité délivré par le tribunal. 

Coût : Aucun coût direct, mais des frais peuvent être appliqués pour les procédures judiciaires. 

Conditions d'accès : Être vivant au moment de la mort du défunt et ne pas avoir commis de fautes graves envers lui.",procedure_succession_loi,
Quelles pièces dois-je fournir pour la succession ?,Vous devez fournir un certificat de décès et un certificat d'hérédité délivré par le tribunal.,procedure_succession_loi,
Quel est le coût pour la succession selon la loi ?,"Il n'y a aucun coût direct pour la succession, mais des frais peuvent être appliqués pour les procédures judiciaires.",procedure_succession_loi,
Quelles sont les conditions pour bénéficier de la succession ?,Vous devez être vivant au moment de la mort du défunt et ne pas avoir commis de fautes graves envers lui.,procedure_succession_loi,
Que se passe-t-il si je ne suis pas mentionné dans le testament ?,"En l'absence de testament, la succession se fera selon les règles de la loi, qui déterminent l'ordre des héritiers.",procedure_succession_loi,
Quel rôle joue le tribunal dans la succession ?,Le tribunal délivre le certificat d'hérédité et peut intervenir en cas de litige concernant la succession ou pour s'assurer que les procédures légales sont respectées.,procedure_succession_loi,
Est-ce que tous les héritiers doivent être d'accord ?,"Oui, en général, tous les héritiers doivent être d'accord sur la répartition des biens, surtout si cela n'est pas spécifié dans un testament.",procedure_succession_loi,
Que faire en cas de conflit entre héritiers ?,"En cas de conflit, il est conseillé de consulter un notaire ou d'introduire une action en justice pour résoudre le litige.",procedure_succession_loi,
Comment se déroule la transmission des biens ?,"La transmission des biens se fait conformément aux règles de la loi ou aux dispositions du testament, et doit suivre les formalités légales requises.",procedure_succession_loi,
Quelle est la procédure pour rendre visite à un détenu ?,"Les détenus dans les établissements pénitentiaires peuvent recevoir des visites de leurs familles, amis et connaissances. Pour rendre visite, vous devez obtenir un permis de visite au Palais de justice ou auprès de l'Administration pénitentiaire. 

Conditions d'accès : Respecter les horaires établis par chaque établissement.",procedure_visite_detenu,
Quelles pièces dois-je fournir pour visiter un détenu ?,"Vous devez fournir un permis de visite (permanent, ponctuel ou exceptionnel).",procedure_visite_detenu,
Quel est le coût pour rendre visite à un détenu ?,"Il n'y a aucun coût direct pour la visite, mais des frais peuvent s'appliquer pour l'obtention du permis.",procedure_visite_detenu,
Quelles sont les conditions pour rendre visite à un détenu ?,Vous devez obtenir un permis de visite au Palais de justice ou auprès de l'Administration pénitentiaire et respecter les horaires établis par chaque établissement.,procedure_visite_detenu,
Les visites peuvent-elles être restreintes ?,"Oui, le droit de recevoir des visites peut être restreint pour des raisons judiciaires ou de sécurité, conformément à la loi.",procedure_visite_detenu,
Peut-on rendre visite à un détenu sans permis ?,"Non, un permis de visite est obligatoire pour rendre visite à un détenu.",procedure_visite_detenu,
Comment obtenir un permis de visite ?,"Vous pouvez obtenir un permis de visite au Palais de justice ou auprès de l'Administration pénitentiaire, en remplissant les formalités nécessaires.",procedure_visite_detenu,
Y a-t-il des horaires spécifiques pour les visites ?,"Oui, chaque établissement pénitentiaire a des horaires spécifiques pour les visites, que vous devez respecter.",procedure_visite_detenu,
Quelle est la procédure pour obtenir un visa burkinabé ?,"Le visa est une autorisation expresse accordée par un consulat à l’extérieur du Burkina à une personne étrangère pour lui permettre d’entrer au Burkina afin d’y séjourner légalement. Il peut être de court ou long séjour. 

Pièces à fournir : 
Un passeport en cours de validité. 
Deux photos d’identité. 
Une demande de visa remplie et signée. 
Vingt mille (20 000) FCFA pour le visa de long séjour. 

Coût : 
47 000 FCFA pour les visas de court séjour et 120 000 FCFA pour les visas de long séjour. Le visa de courtoisie est gratuit. 

Conditions d'accès : 
Demande soumise à l’administration centrale en charge de l’immigration ou à l'ambassade. 
Pour les visas de court séjour, une extension peut être demandée à la Division de la Migration.",procedure_visa_burkina,
Quelles pièces dois-je fournir pour obtenir un visa ?,"Vous devez fournir : 
Un passeport en cours de validité. 
Deux photos d’identité. 
Une demande de visa remplie et signée. 
Vingt mille (20 000) FCFA pour le visa de long séjour.",procedure_visa_burkina,
Quel est le coût pour un visa burkinabé ?,"Le coût est de : 
47 000 FCFA pour les visas de court séjour. 
120 000 FCFA pour les visas de long séjour. 
Le visa de courtoisie est gratuit.",procedure_visa_burkina,
Quelles sont les conditions pour demander un visa ?,"Vous devez soumettre votre demande à : 
L’administration centrale en charge de l’immigration ou à l'ambassade. 
Pour les visas de court séjour, une extension peut être demandée à la Division de la Migration.",procedure_visa_burkina,
Comment se déroule la demande de visa ?,"Vous devez : 
Remplir une demande de visa. 
Soumettre les pièces requises et le paiement des frais auprès du consulat ou de l'administration concernée.",procedure_visa_burkina,
Les visas de court séjour peuvent-ils être prolongés ?,"Oui, pour les visas de court séjour, une extension peut être demandée à la Division de la Migration.",procedure_visa_burkina,
Quel type de visa est gratuit ?,Le visa de courtoisie est gratuit.,procedure_visa_burkina,
Quelle est la procédure pour obtenir une arme civile ?,"Nul ne peut acheter une arme à feu ou bénéficier par échange, don, héritage, ou legs, s’il n’est titulaire d’une licence appelée « Autorisation d’achat d’arme à feu ». Cette autorisation est personnelle et signée par le Ministre chargé de la sécurité. 

Pièces à fournir : 
Une demande sur un formulaire revêtu d’un timbre fiscal de 15 000 FCFA pour les armes d’épaule, 25 000 FCFA pour les armes de poing de calibre ≤ 7,65 mm, 50 000 FCFA pour les armes de poing de calibre > 7,65 mm. 
Une (01) photocopie légalisée de la carte d’identité ou du passeport en cours de validité. 
Un (01) extrait d’acte de naissance ou jugement supplétif. 
Un (01) certificat de résidence. 
Un (01) extrait de casier judiciaire de moins de trois (03) mois. 
Deux (02) photos d’identité. 

Coût : 
Variable selon le type d'arme, avec timbre fiscal allant de 15 000 à 50 000 FCFA. 

Conditions d'accès : 
Résultat positif de l’enquête de moralité menée par les services de police. 
Mention de tout permis de détention et de port d’arme en cas de possession antérieure.",procedure_arme_civile,
Quelles pièces dois-je fournir pour obtenir une arme ?,"Vous devez fournir : 
Une demande sur un formulaire avec un timbre fiscal approprié. 
Une photocopie légalisée de la carte d’identité ou du passeport. 
Un extrait d’acte de naissance. 
Un certificat de résidence. 
Un extrait de casier judiciaire de moins de trois mois. 
Deux photos d’identité.",procedure_arme_civile,
Quel est le coût pour l'obtention d'une arme ?,"Le coût est variable selon le type d'arme, avec un timbre fiscal allant de 15 000 à 50 000 FCFA.",procedure_arme_civile,
Quelles sont les conditions d'accès pour acheter une arme ?,Vous devez avoir un résultat positif de l’enquête de moralité menée par les services de police et mentionner tout permis de détention et de port d’arme en cas de possession antérieure.,procedure_arme_civile,
Comment se déroule la demande d'autorisation d'achat d'arme ?,Vous devez remplir une demande sur un formulaire et fournir les pièces requises ainsi que le paiement des timbres fiscaux appropriés.,procedure_arme_civile,
Qui signe l'autorisation d'achat d'arme ?,L'autorisation d'achat d'arme est signée par le Ministre chargé de la sécurité.,procedure_arme_civile,
Quelle est la procédure pour obtenir un passeport ordinaire ?,"Le passeport ordinaire est délivré par la Direction Générale de la Police Nationale à travers la Division de la Migration à Gounghin. Pour l'obtenir, il faut constituer un dossier avec les pièces suivantes à déposer à la Division de la Migration du lundi au vendredi. 

Pièces à fournir pour les majeurs : 
Une copie légalisée de l'acte de naissance. 
Une copie légalisée du certificat de nationalité burkinabè. 
Une copie légalisée de la CNIB. 
Un casier judiciaire en cours de validité. 
Un timbre de 200 FCFA. 
Trois (03) photos d'identité au format passeport. 
Un document justifiant votre profession. 
La somme de cinquante mille (50 000 FCFA) pour les frais d'établissement. 
Pour les femmes mariées souhaitant porter le nom de leur conjoint : une copie légalisée de l'acte de mariage. 

Pour les mineurs : 
L’acte de naissance de l’enfant. 
Le certificat de nationalité de l’enfant. 
Une autorisation parentale. 
Document d’identité des deux parents (si le mineur réside au Burkina Faso), ou titre de séjour des deux parents (dans ce cas, l’autorisation parentale n’est pas nécessaire). 
Un timbre fiscal de 200 FCFA plus la somme de 50 000 FCFA. 
Trois (03) photos au format passeport. 
Pour les militaires et paramilitaires : un certificat de présence au corps précisant l’établissement d’un passeport.",procedure_passeport_ordinaire,
Quelles pièces dois-je fournir pour obtenir un passeport ?,"Pour les majeurs : 
- Une copie légalisée de l'acte de naissance. 
- Une copie légalisée du certificat de nationalité burkinabè. 
- Une copie légalisée de la CNIB. 
- Un casier judiciaire en cours de validité. 
- Un timbre de 200 FCFA. 
- Trois (03) photos d'identité au format passeport. 
- Un document justifiant votre profession. 
- 50 000 FCFA pour les frais d'établissement. 

Pour les mineurs : 
- L’acte de naissance de l’enfant. 
- Le certificat de nationalité de l’enfant. 
- Une autorisation parentale. 
- Document d’identité des deux parents ou titre de séjour. 
- Un timbre fiscal de 200 FCFA plus 50 000 FCFA. 
- Trois (03) photos au format passeport.",procedure_passeport_ordinaire,
Quel est le coût pour l'obtention d'un passeport ?,Le coût est de 50 000 FCFA + un timbre de 200 FCFA.,procedure_passeport_ordinaire,
Quelles sont les conditions d'accès pour obtenir un passeport ?,Vous devez déposer le dossier à la Division de la Migration.,procedure_passeport_ordinaire,
Où puis-je faire ma demande de passeport ordinaire ?,"La demande doit être faite à la Division de la Migration à Gounghin, du lundi au vendredi.",procedure_passeport_ordinaire,
Que faire si je suis mineur et souhaite obtenir un passeport ?,"Pour les mineurs, il faut fournir l’acte de naissance, le certificat de nationalité, une autorisation parentale, et les documents d’identité des parents, en plus des frais et des photos.",procedure_passeport_ordinaire,
Quelle est la procédure pour obtenir une Carte Nationale d'Identité Burkinabè (CNIB) ?,"La Carte Nationale d'Identité Burkinabè (CNIB) est un document officiel permettant de justifier son identité et sa nationalité burkinabè. Elle est obligatoire à partir de 15 ans et a une durée de validité de 10 ans. Pour l'obtenir, il faut se rendre en personne dans un Centre de Collecte des Données (CCD) avec les pièces justificatives.",procedure_cnib,
Quelles pièces dois-je fournir pour obtenir la CNIB ?,"Pour les Burkinabè nés au Burkina Faso : une copie de l'acte de naissance. 
Pour les Burkinabè nés à l'extérieur : une copie du certificat de nationalité et un formulaire de demande de carte nationale d'identité (remis sur place). 
Pour les femmes souhaitant porter le nom de leur époux : une copie de l'acte de mariage. 
Pour faire figurer la profession de commerçant : une copie du registre du commerce.",procedure_cnib,
Quel est le coût pour obtenir une CNIB ?,Le coût est variable selon les localités.,procedure_cnib,
Quelles sont les conditions d'accès pour obtenir la CNIB ?,Vous devez vous rendre en personne dans un Centre de Collecte des Données (CCD) avec les pièces justificatives.,procedure_cnib,
À partir de quel âge doit-on avoir une CNIB ?,La CNIB est obligatoire à partir de 15 ans.,procedure_cnib,
Quelle est la durée de validité de la CNIB ?,La CNIB a une durée de validité de 10 ans.,procedure_cnib,
Où puis-je faire ma demande de CNIB ?,Vous devez vous rendre dans un Centre de Collecte des Données (CCD) avec vos pièces justificatives.,procedure_cnib,
Quelle est la procédure pour créer une entreprise en tant que personne physique ?,"La création d'une personne physique implique plusieurs formalités, notamment : le Registre du Commerce et du Crédit Mobilier (RCCM), la déclaration d'existence fiscale et le numéro d'Identifiant Financier Unique (IFU), la carte professionnelle de commerçant (CPC) et la notification employeur (CNSS). 

Pièces à fournir : 
- Photocopie légalisée de la pièce d’identité ou du passeport du promoteur. 
- Fiche de déclaration sur l’honneur dûment signée par le promoteur (formulaire disponible au CEFORE et sur le site de la MEBF). 
- Extrait de casier judiciaire (Bulletin N°3) de moins de 3 mois. 
- Copie de l’acte de mariage (s’il y a lieu). 
- Certificat de résidence de l’année en cours. 
- L’un des documents suivants au nom du créateur : contrat de bail à usage commercial, titre foncier, permis urbain d’habiter, attestation d’attribution de parcelle, facture d’eau ou d’électricité. 
- Deux photos d’identité du promoteur. 
- Formulaire de demande de la carte professionnelle de commerçant. 
- Fiche de localisation visée par le service des impôts. 
- Autorisation d'exercer le commerce ou accusé de réception de la demande d'autorisation d'exercer le commerce pour les étrangers. 

Coût : 40 000 FCFA. 

Conditions d'accès : Toute personne juridiquement capable d'exercer le commerce peut créer une entreprise.",procedure_entreprise_physique,
Quelles pièces dois-je fournir pour créer une entreprise ?,"- Photocopie légalisée de la pièce d’identité ou du passeport du promoteur. 
- Fiche de déclaration sur l’honneur dûment signée par le promoteur (formulaire disponible au CEFORE et sur le site de la MEBF). 
- Extrait de casier judiciaire (Bulletin N°3) de moins de 3 mois. 
- Copie de l’acte de mariage (s’il y a lieu). 
- Certificat de résidence de l’année en cours. 
- L’un des documents suivants au nom du créateur : contrat de bail à usage commercial, titre foncier, permis urbain d’habiter, attestation d’attribution de parcelle, facture d’eau ou d’électricité. 
- Deux photos d’identité du promoteur. 
- Formulaire de demande de la carte professionnelle de commerçant. 
- Fiche de localisation visée par le service des impôts. 
- Autorisation d'exercer le commerce ou accusé de réception de la demande d'autorisation d'exercer le commerce pour les étrangers.",procedure_entreprise_physique,
Quel est le coût pour créer une entreprise ?,Le coût pour créer une entreprise est de 40 000 FCFA.,procedure_entreprise_physique,
Quelles sont les conditions d'accès pour créer une entreprise ?,Toute personne juridiquement capable d'exercer le commerce peut créer une entreprise.,procedure_entreprise_physique,
Quelles formalités sont nécessaires pour la création d'entreprise ?,"Les formalités nécessaires incluent le Registre du Commerce et du Crédit Mobilier (RCCM), la déclaration d'existence fiscale et le numéro d'Identifiant Financier Unique (IFU), la carte professionnelle de commerçant (CPC) et la notification employeur (CNSS).",procedure_entreprise_physique,
,,,
Quelles sont les étapes pour créer une entreprise pour les personnes morales au Burkina Faso ?,"La création d'une personne morale implique plusieurs formalités, notamment : le Registre du Commerce et du Crédit Mobilier (RCCM), la déclaration d'existence fiscale et le numéro d'Identifiant Financier Unique (IFU), ainsi que la notification employeur (CNSS).",procedure_entreprise_morale,
Quels documents sont nécessaires pour faire une demande de création d'entreprise pour les personnes morales ?,"Photocopie de la pièce d’identité ou du passeport du ou des gérants et d’un des associés, fiche de déclaration sur l’honneur, extrait de casier judiciaire, exemplaire des statuts de la société, et d'autres documents spécifiques.",procedure_entreprise_morale,
Quel est le coût associé à la création d'une entreprise pour les personnes morales ?,Le coût est de 47 500 FCFA.,procedure_entreprise_morale,
Quelles sont les conditions d'accès pour créer une entreprise pour les personnes morales ?,Toute personne juridiquement capable d'exercer le commerce.,procedure_entreprise_morale,
Comment obtenir le Registre du Commerce et du Crédit Mobilier (RCCM) pour une entreprise ?,Il faut suivre les formalités d'enregistrement auprès des autorités compétentes.,procedure_entreprise_morale,
Quelle est la procédure pour obtenir le numéro d'Identifiant Financier Unique (IFU) ?,La demande se fait auprès des services fiscaux après avoir enregistré l'entreprise.,procedure_entreprise_morale,
Quelles formalités doivent être remplies pour la déclaration d'existence fiscale ?,Il faut fournir des documents spécifiques à l'administration fiscale lors de l'enregistrement de l'entreprise.,procedure_entreprise_morale,
Quels sont les documents requis pour la notification employeur (CNSS) ?,Des documents concernant les employés et l'entreprise doivent être soumis à la CNSS.,procedure_entreprise_morale,
Comment se déroule la fiche de déclaration sur l’honneur pour les gérants ?,Elle doit être dûment signée et remise lors de la création de l'entreprise.,procedure_entreprise_morale,
Quels types de documents peuvent servir de preuve d’adresse pour l'entreprise ?,"Contrat de bail, titre foncier, ou facture d'eau ou d'électricité.",procedure_entreprise_morale,
Comment remplir le formulaire M0 pour la création d'une entreprise ?,Le formulaire est disponible auprès des autorités compétentes et doit être complété avec précision.,procedure_entreprise_morale,
Quelles sont les exigences pour l'extrait de casier judiciaire des gérants ?,"Il doit être récent, de moins de 3 mois, et en cours de validité.",procedure_entreprise_morale,
Comment obtenir une autorisation d'exercer le commerce pour les étrangers ?,Les étrangers doivent faire une demande auprès des autorités compétentes avec les documents requis.,procedure_entreprise_morale,
Quelle est la procédure pour demander une candidature aux examens du permis de conduire ?,"Cette procédure permet à tout usager de composer un dossier de candidature aux examens du permis de conduire dans le but de l'obtenir. Aucune pièce n'est à fournir pour cette procédure. Coût : 5 000 FCFA (dossier de demande de candidature : 4 800 FCFA, timbre de 200 FCFA). Conditions : Inscription dans une auto-école. Informations complémentaires : La visite technique à l'OST concerne les catégories C, D et E.",procedure_examen_permis,
Quels documents sont nécessaires pour la candidature aux examens du permis de conduire ?,Aucune pièce n'est à fournir pour cette procédure.,procedure_examen_permis,
Quel est le coût associé à la demande de candidature aux examens du permis de conduire ?,"5 000 FCFA (dossier de demande de candidature : 4 800 FCFA, timbre de 200 FCFA).",procedure_examen_permis,
Quelles sont les conditions d'accès pour s'inscrire aux examens du permis de conduire ?,Inscription dans une auto-école.,procedure_examen_permis,
Y a-t-il des informations complémentaires concernant les examens ?,"La visite technique à l'OST concerne les catégories C, D et E.",procedure_examen_permis,
Quelle est la procédure pour obtenir le certificat de nationalité burkinabè ?,"Les modes d'obtention de la nationalité burkinabè sont les suivants : 
- Acte de naissance du demandeur. 
- Certificat de nationalité burkinabè de l'un des parents (pour les demandeurs par filiation). 
- Acte de mariage et certificat de nationalité burkinabè du conjoint (pour les étrangers mariés à un Burkinabè). 
- Certificat de résidence et certificat de nationalité étrangère des parents (pour les majeurs étrangers nés au Burkina Faso). 
- Déclaration souscrite devant le Président du Tribunal de Grande Instance pour les mineurs. 
Coût : Variable selon les modalités, frais de traitement à prévoir. 
Conditions : Être né(e) au Burkina Faso ou avoir des parents burkinabè, avoir résidé au Burkina Faso pendant une certaine durée selon les cas, remplir les conditions spécifiques selon le mode d'obtention.",procedure_cnib,
Quels documents sont nécessaires pour obtenir le certificat de nationalité burkinabè ?,"Acte de naissance du demandeur, certificat de nationalité burkinabè de l'un des parents (pour les demandeurs par filiation), acte de mariage et certificat de nationalité burkinabè du conjoint (pour les étrangers mariés à un Burkinabè), certificat de résidence et certificat de nationalité étrangère des parents (pour les majeurs étrangers nés au Burkina Faso), déclaration souscrite devant le Président du Tribunal de Grande Instance pour les mineurs.",procedure_cnib,
Quel est le coût associé à la demande de certificat de nationalité burkinabè ?,"Variable selon les modalités, frais de traitement à prévoir.",procedure_cnib,
Quelles sont les conditions d'accès pour obtenir le certificat de nationalité burkinabè ?,"Être né(e) au Burkina Faso ou avoir des parents burkinabè, avoir résidé au Burkina Faso pendant une certaine durée selon les cas, remplir les conditions spécifiques selon le mode d'obtention.",procedure_cnib,
Quelle est la procédure pour obtenir un extrait de casier judiciaire ?,"La demande en ligne de votre extrait de casier judiciaire se déroule en plusieurs étapes : 
- Extrait de naissance ou jugement supplétif. 
- Copie de la carte nationale d’identité ou du passeport (pour les personnes de plus de seize ans). 
Coût : Frais de traitement à payer après validation de la demande. 
Conditions : Fournir des informations personnelles, fournir des informations sur les parents, confirmer la validité des informations fournies pour générer un récépissé.",procedure_casier_judiciaire,
Quels documents sont nécessaires pour obtenir un extrait de casier judiciaire ?,"Extrait de naissance ou jugement supplétif, copie de la carte nationale d’identité ou du passeport (pour les personnes de plus de seize ans).",procedure_casier_judiciaire,
Quel est le coût associé à la demande d'extrait de casier judiciaire ?,Frais de traitement à payer après validation de la demande.,procedure_casier_judiciaire,
Quelles sont les conditions d'accès pour obtenir un extrait de casier judiciaire ?,"Fournir des informations personnelles, fournir des informations sur les parents, confirmer la validité des informations fournies pour générer un récépissé.",procedure_casier_judiciaire,
Où peut-on faire une demande d'extrait de casier judiciaire ?,La demande peut être faite en ligne via le site officiel : e-casierjudiciaire.,procedure_casier_judiciaire,
Quel est le délai pour recevoir l'extrait de casier judiciaire après la demande ?,Le délai dépend du traitement de la demande , il est conseillé de consulter le site pour des informations spécifiques.,procedure_casier_judiciaire
Que faire si des informations sont incorrectes dans le casier judiciaire ?,Il est possible de contester les informations en suivant la procédure indiquée sur le site officiel ou en contactant les autorités compétentes.,procedure_casier_judiciaire,
Quelle est la procédure pour obtenir un certificat de nationalité burkinabè ?,"Le certificat de nationalité est une attestation délivrée par le président ou un juge du Tribunal de grande instance (TGI), au vu des pièces justificatives. 
Il peut être demandé pour établir une carte nationale d’identité, un passeport, ou pour une candidature à un emploi dans la fonction publique.",procedure_certificat_nationalite,
Quels documents sont nécessaires pour obtenir un certificat de nationalité ?,"- Extrait d’acte de naissance pour les burkinabè nés au Burkina Faso, et celui de l’un des parents. 
- Extrait d’acte de naissance et le certificat de nationalité burkinabè de l’un des deux parents pour les burkinabè nés à l’étranger. 
- Extrait d’acte de naissance, acte de mariage et certificat de nationalité burkinabè du conjoint pour les étrangers mariés. 
- Extrait d’acte de naissance et certificat de résidence pour les apatrides. 
- Extrait d’acte de naissance, décret de naturalisation pour les naturalisés, et certificat de nationalité du parent naturalisé.",procedure_certificat_nationalite,
Quel est le coût associé à la demande de certificat de nationalité ?,"200 FCFA pour le timbre fiscal, 500 FCFA pour l’original et 100 FCFA pour chaque copie.",procedure_certificat_nationalite,
Où faut-il se rendre pour demander un certificat de nationalité ?,Se rendre dans un tribunal de grande instance.,procedure_certificat_nationalite,
Quel est le délai de traitement pour obtenir le certificat de nationalité ?,Le délai moyen de traitement est d’une semaine.,procedure_certificat_nationalite,
Dans quels cas peut-on demander un certificat de nationalité ?,"Pour établir une carte nationale d’identité burkinabè, un passeport, ou pour une candidature à un emploi dans la fonction publique.",procedure_certificat_nationalite,
Que faire si on n’a pas tous les documents requis pour la demande ?,Il est conseillé de contacter le tribunal de grande instance pour connaître les alternatives possibles ou les documents supplémentaires nécessaires.,procedure_certificat_nationalite,
Quelle est la procédure pour célébrer un mariage à l'état civil ?,La célébration de mariage à l'état civil permet d'établir la situation matrimoniale des époux. Ce processus formalise le mariage et assure la protection des droits des conjoints.,procedure_mariage_civil,
Quels documents sont nécessaires pour la célébration d'un mariage civil ?,"- Extrait d’acte de naissance de chacun des futurs époux ou jugement supplétif. 
- CNIB des futurs époux. 
- CNIB des témoins. 
- Certificat de résidence de chacun des futurs époux. 
- Certificat de visite prénuptiale. 
- Certificat de non grossesse pour la femme, veuve ou divorcée. 
- Certificat de capacité en mariage (pour les non nationaux). 
- Extrait d’acte de mariage ou des mariages (s’il y a lieu). 
- Extrait du jugement de divorce (s’il y a lieu). 
- Autorisation administrative des supérieurs hiérarchiques (s’il y a lieu). 
- Consentements des père et mère pour les mineurs. 
- Choix du régime matrimonial adopté.",procedure_mariage_civil,
Quel est le coût associé à la célébration d'un mariage civil ?,6 timbres communaux à 300 F + 1 timbre communal à 300 F + Frais pour la location de la salle de mariage (15 000 FCFA minimum) + Publication des bans (30 jours consécutifs).,procedure_mariage_civil,
Quelles sont les conditions d'accès pour célébrer un mariage à l'état civil ?,Les futurs époux doivent être d'accord pour se marier et tous les documents requis doivent être fournis.,procedure_mariage_civil,
