Categorie,Tag,Sous categorie,Question,Réponse,Article_reference
Droit foncier,droit_foncier,Droit foncier,Que faire si je suis confronté à une saisie immobilière sans préavis ?,"Vous pouvez contester la saisie devant le tribunal compétent, en prouvant qu'elle a été effectuée sans respecter la procédure légale.",
Droit foncier,droit_foncier,Droit foncier,Quels sont les droits des enfants dans le partage des biens familiaux ?,"Les enfants ont droit à une part équitable des biens familiaux lors du partage, conformément aux lois sur la succession.",
Droit foncier,droit_foncier,Droit foncier,Comment se défendre contre des charges excessives en copropriété ?,"Vous pouvez demander des explications au syndic et, si nécessaire, contester les charges devant l'assemblée générale ou saisir le tribunal.",
Droit foncier,droit_foncier,Droit foncier,Que faire si je suis confronté à une problématique de pollution de mon terrain ?,"Vous devez signaler la pollution aux autorités compétentes et envisager des actions de dépollution, tout en consultant des experts pour évaluer les mesures à prendre.",
Droit foncier,droit_foncier,Droit foncier,Quels sont mes droits en tant que bailleur en matière de sécurité du locataire ?,"En tant que bailleur, vous avez l'obligation de fournir un logement décent et sûr, en respectant les normes de sécurité et d'hygiène.",
Droit foncier,droit_foncier,Droit foncier,Comment faire une demande de rachat de servitude ?,"Vous devez adresser une demande formelle au titulaire de la servitude, en précisant les motifs de la demande et, si nécessaire, en engageant des négociations.",
Droit foncier,droit_foncier,Droit foncier,Que faire si je suis victime de menaces d'un voisin ?,Vous devez signaler les menaces à la police et envisager d'introduire une plainte pour obtenir des mesures de protection.,
Droit du travail,formation_professionnelle,Conseil national de l’emploi,Quel est le rôle du conseil national de l’emploi et de la formation professionnelle ?,Le conseil est chargé des questions d’emploi et de formation professionnelle.,"Article 7, Loi 28-2008"
Droit du travail,formation_professionnelle,Composition et organisation,Qui détermine la composition et l’organisation du conseil national de l’emploi ?,Un décret en conseil des ministres fixe la composition et l’organisation du conseil national de l’emploi.,"Article 7, Loi 28-2008"
Droit du travail,formation_professionnelle,Attributions du conseil,Quelles sont les attributions du conseil national de l’emploi ?,Le décret en conseil des ministres précise les attributions du conseil national de l’emploi et de la formation professionnelle.,"Article 7, Loi 28-2008"
Droit du travail,formation_professionnelle,Fonctionnement du conseil,Comment est régulé le fonctionnement du conseil national de l’emploi ?,Le fonctionnement du conseil est fixé par un décret en conseil des ministres.,"Article 7, Loi 28-2008"
Droit du travail,formation_professionnelle,Définition de la formation,Comment la loi définit-elle la formation professionnelle ?,"La formation professionnelle est l’ensemble des activités visant à assurer l’acquisition de connaissances, qualifications et aptitudes nécessaires pour exercer une profession ou fonction déterminée.","Article 8, Loi 28-2008"
Droit du travail,formation_professionnelle,Conditions de formation,Quelles conditions s'appliquent lorsque l'employeur finance la formation du travailleur ?,"Lorsque l’employeur finance la formation, il peut exiger que le travailleur reste à son service pendant une période déterminée, proportionnelle au coût de la formation ou du perfectionnement.","Article 8, Loi 28-2008"
Droit du travail,formation_professionnelle,Décret sur la formation,Quel type de décret fixe les conditions de la formation professionnelle ?,Un décret en conseil des ministres fixe les conditions de la formation professionnelle.,"Article 8, Loi 28-2008"
Droit du travail,formation_professionnelle,Définition de l'orientation,Que signifie l’orientation professionnelle dans le contexte de la loi ?,L’orientation professionnelle consiste à informer et guider les demandeurs d’emploi sur l’éventail des professions et à les aider à choisir une voie conforme à leurs aptitudes.,"Article 9, Loi 28-2008"
Droit du travail,formation_professionnelle,Objectifs de l'orientation,Quels sont les objectifs de l'orientation professionnelle ?,"Les objectifs incluent l'information et le guidage des demandeurs d'emploi, notamment des jeunes, dans le choix de leur carrière en fonction de leurs aptitudes.","Article 9, Loi 28-2008"
Droit du travail,formation_professionnelle,Modalités de mise en œuvre,Qui détermine les modalités de mise en œuvre de l’orientation professionnelle ?,Les modalités de mise en œuvre de l’orientation professionnelle sont précisées par un décret en conseil des ministres.,"Article 9, Loi 28-2008"
Droit du travail,formation_professionnelle,Types de conseils offerts,Quels types de conseils sont offerts dans le cadre de l’orientation professionnelle ?,Des conseils et des consultations individuelles et collectives sont offerts pour guider les demandeurs d’emploi.,"Article 9, Loi 28-2008"
Droit du travail,contrat_stage,Objectif du contrat,Quel est l'objectif principal du contrat de stage ?,L'objectif du contrat de stage est de favoriser la promotion de l'emploi et de la formation professionnelle.,"Article 10, Loi 28-2008"
Droit du travail,contrat_stage,Définition du contrat,Qu'est-ce qu'un contrat de stage selon la loi ?,Un contrat de stage est une convention par laquelle un maître de stage s'engage à donner une formation professionnelle pratique à un stagiaire.,"Article 11, Loi 28-2008"
Droit du travail,contrat_stage,Expérience acquise,Quel type d'expérience le contrat de stage vise-t-il à donner au stagiaire ?,Le contrat de stage vise à faire acquérir au stagiaire une expérience et des aptitudes professionnelles pour faciliter son accès à l'emploi et son insertion dans la vie professionnelle.,"Article 11, Loi 28-2008"
Droit du travail,contrat_stage,Conditions de conclusion,Quand doit être conclu le contrat de stage ?,Le contrat de stage doit être conclu impérativement avant l'entrée du stagiaire dans l'entreprise.,"Article 12, Loi 28-2008"
Droit du travail,contrat_stage,Forme du contrat,Quel est le format requis pour le contrat de stage ?,"Le contrat de stage doit être constaté par écrit dans la langue officielle, sous peine de nullité.","Article 12, Loi 28-2008"
Droit du travail,contrat_stage,Droits de timbre,Le contrat de stage est-il soumis à des droits de timbre ou d’enregistrement ?,"Non, le contrat de stage est exempt de tous droits de timbre et d’enregistrement.","Article 12, Loi 28-2008"
Droit du travail,contrat_stage,Conditions réglementaires,Qui règle les autres conditions de forme et de fond du contrat de stage ?,"Les autres conditions de forme et de fond, les obligations des parties et les effets du contrat de stage sont réglés par voie réglementaire par le ministre chargé du travail après avis de la commission consultative du travail.","Article 12, Loi 28-2008"
Droit du travail,contrat_stage,Obligations des parties,Quelles sont les obligations des parties dans le cadre du contrat de stage ?,"Les obligations des parties sont fixées par voie réglementaire, après avis de la commission consultative du travail.","Article 12, Loi 28-2008"
Droit du travail,contrat_apprentissage,Définition du contrat,Qu'est-ce qu'un contrat d'apprentissage selon la loi ?,Le contrat d'apprentissage est le contrat par lequel un maître s’oblige à donner une formation professionnelle méthodique et complète à un apprenti.,"Article 13, Loi 28-2008"
Droit du travail,contrat_apprentissage,Obligations de l'apprenti,Quelles sont les obligations de l'apprenti dans le contrat d'apprentissage ?,L'apprenti doit se conformer aux instructions qu'il reçoit et exécuter les ouvrages qui lui sont confiés dans le cadre de son apprentissage.,"Article 13, Loi 28-2008"
Droit du travail,contrat_apprentissage,Forme du contrat,Quel est le format requis pour le contrat d'apprentissage ?,"Le contrat d'apprentissage doit être constaté par écrit, rédigé en langue officielle et, si possible, dans la langue de l’apprenti.","Article 13, Loi 28-2008"
Droit du travail,contrat_apprentissage,Droits de timbre,Le contrat d'apprentissage est-il soumis à des droits de timbre ou d’enregistrement ?,"Non, le contrat d'apprentissage est exempt de tous droits de timbre et d’enregistrement.","Article 13, Loi 28-2008"
Droit du travail,contrat_apprentissage,Conditions réglementaires,Qui détermine les conditions de forme et de fond du contrat d'apprentissage ?,"Le ministre chargé du travail, après avis de la commission consultative du travail, détermine par voie réglementaire les conditions de forme et de fond, les obligations des parties et les effets du contrat.","Article 14, Loi 28-2008"
Droit du travail,contrat_apprentissage,Examen de fin d'apprentissage,Quelles sont les étapes à suivre à la fin de la période d'apprentissage ?,L'apprenti doit passer un examen devant un organisme agréé qui lui délivre un certificat d’aptitude professionnelle en cas de succès.,"Article 15, Loi 28-2008"
Droit du travail,contrat_apprentissage,Conditions d'évaluation,Qui détermine les conditions d’évaluation de fin d’apprentissage ?,"Le ministre chargé de l’emploi, après avis de la commission consultative du travail, détermine par voie réglementaire les conditions d’évaluation de fin d’apprentissage.","Article 15, Loi 28-2008"
Droit du travail,contrat_apprentissage,Dommages et intérêts,Quelles sont les conséquences de l'embauche d'apprentis par un nouvel employeur ?,"L'embauche d'apprentis ouvre droit à des dommages et intérêts à la charge du nouvel employeur, au profit du maître de l’apprenti, sauf si le nouvel employeur prouve sa bonne foi.","Article 16, Loi 28-2008"
Droit du travail,contrat_apprentissage,Nullité du contrat,Quel est le résultat d'un nouveau contrat d'apprentissage conclu sans respecter les obligations du précédent contrat ?,Tout nouveau contrat d'apprentissage conclu sans que les obligations du précédent contrat aient été exécutées complètement ou sans résiliation légale est nul de plein droit.,"Article 17, Loi 28-2008"
Droit du travail,travail_temporaire_placement,Définition,Qu'est-ce que l'activité de placement selon la loi ?,L'activité de placement est le fait pour toute personne physique ou morale de servir d’intermédiaire pour trouver un emploi à un travailleur ou un travailleur à un employeur.,"Article 18, Loi 28-2008"
Droit du travail,travail_temporaire_placement,Type d'activité,Quelles sont les types d'activités de placement mentionnées dans la loi ?,L'activité de placement peut être publique ou privée. Les activités privées peuvent inclure la fourniture d’informations sur la recherche d'emploi sans rapprocher une offre et une demande spécifiques.,"Article 18, Loi 28-2008"
Droit du travail,travail_temporaire_placement,Définition de l'entrepreneur,Qui est considéré comme entrepreneur de travail temporaire ?,"L'entrepreneur de travail temporaire est toute personne, physique ou morale, dont l’activité principale est de mettre à la disposition d’utilisateurs des travailleurs en fonction d’une qualification déterminée.","Article 19, Loi 28-2008"
Droit du travail,travail_temporaire_placement,Rôle dans le placement,Quel est le rôle des services publics chargés de l’emploi ?,"Ils peuvent recevoir les offres et demandes d’emploi et assurer des opérations de placement sur requête des employeurs, des travailleurs et des demandeurs d’emploi.","Article 20, Loi 28-2008"
Droit du travail,travail_temporaire_placement,Obligation,Quelles sont les obligations des établissements publics concernant les postes d’emploi vacants ?,"Les établissements publics de l’État, les entreprises à participation publique et les projets financés sur fonds publics doivent publier les postes d’emploi vacants et organiser des tests de recrutement.","Article 21, Loi 28-2008"
Droit du travail,travail_temporaire_placement,Interdiction,Quand le recrutement collectif de travailleurs à l’extérieur est-il interdit ?,"Le recrutement collectif est interdit sauf autorisation préalable du ministre chargé du travail après avis des ministres chargés de l’emploi, des affaires étrangères et de l’administration territoriale.","Article 22, Loi 28-2008"
Droit du travail,travail_temporaire_placement,Conditions d'ouverture,Quelles sont les conditions pour ouvrir un bureau de placement privé ?,L'ouverture de bureaux ou offices privés de placement et d’entreprises de travail temporaire doit respecter les dispositions légales et réglementaires.,"Article 23, Loi 28-2008"
Droit du travail,travail_temporaire_placement,Exigences,Quelles sont les exigences pour exercer une activité de placement ?,Les activités de placement ne peuvent être exercées que par des personnes physiques ou morales ayant obtenu un agrément délivré par le ministre chargé du travail après avis du ministre chargé de l’emploi.,"Article 24, Loi 28-2008"
Droit du travail,travail_temporaire_placement,Exigences supplémentaires,Que doit remplir une personne pour ouvrir un bureau de placement privé ?,Toute personne désirant ouvrir un bureau de placement ou une entreprise de travail temporaire doit remplir les conditions fixées par voie réglementaire par les ministres chargés du travail et de l’emploi.,"Article 25, Loi 28-2008"
Droit du travail,travail_temporaire_placement,Interdiction,Les bureaux de placement peuvent-ils discriminer les travailleurs ?,"Non, ils ne doivent faire subir aucune discrimination aux travailleurs, conformément à l’article 4 de la loi.","Article 26, Loi 28-2008"
Droit du travail,travail_temporaire_placement,Interdiction,Les bureaux de placement peuvent-ils imposer des frais aux demandeurs d’emploi ?,"Non, ils ne doivent pas mettre à la charge des demandeurs d’emploi des honoraires ni d'autres frais, sauf dérogations pour certaines catégories de travailleurs et services spécifiquement identifiés.","Article 27, Loi 28-2008"
Droit du travail,travail_temporaire_placement,Conséquences,Quelles sont les conséquences d'une grève sur les opérations de placement ?,"En cas de grève ou de lock-out, les opérations de placement définitif relatives aux entreprises concernées par la cessation de travail sont immédiatement interrompues.","Article 28, Loi 28-2008"
Droit du travail,contrat_travail,Définition,Qu'est-ce qu'un contrat de travail selon la loi ?,"Le contrat de travail est toute convention écrite ou verbale par laquelle une personne appelée travailleur, s’engage à mettre son activité professionnelle, moyennant rémunération, sous la direction et l’autorité d’une autre personne physique ou morale, publique ou privée appelée employeur.","Article 29, Loi 28-2008"
Droit du travail,contrat_travail,Liberté de conclusion,Comment le contrat de travail est-il conclu ?,"Le contrat de travail est conclu librement et doit être constaté dans les formes convenues par les parties, sous réserve des dispositions des articles 55, 56 et 57 de la loi.","Article 29, Loi 28-2008"
Droit du travail,contrat_travail,Preuve d'existence,Comment prouver l'existence d'un contrat de travail ?,La preuve de l’existence du contrat de travail peut être apportée par tous moyens.,"Article 29, Loi 28-2008"
Droit du travail,contrat_travail,Exemption de frais,Un contrat de travail écrit est-il soumis à des droits de timbre ou d'enregistrement ?,"Oui, le contrat de travail écrit est exempt de tous droits de timbre et d’enregistrement, sous réserve des dispositions de l’article 58.","Article 30, Loi 28-2008"
Droit du travail,contrat_travail,Limitation,Quel est le délai pour lequel un travailleur peut engager ses services ?,Le travailleur ne peut engager ses services qu’à temps ou pour une durée limitée à l’exécution d’un ouvrage ou d’une entreprise déterminée.,"Article 31, Loi 28-2008"
Droit du travail,contrat_travail,Limitation,Dans quelles conditions le ministre peut-il limiter ou interdire certaines embauches ?,"Le ministre chargé du travail peut limiter ou interdire certaines embauches pour des raisons d’ordre économique ou social, notamment pour la santé ou l’hygiène publique, après avis de la commission consultative du travail.","Article 32, Loi 28-2008"
Droit du travail,contrat_travail,Application de la loi,Quels contrats de travail sont soumis aux dispositions de cette loi ?,"Tout contrat de travail conclu pour être exécuté au Burkina Faso est soumis à la loi, peu importe le lieu de conclusion et la résidence des parties. Les contrats exécutés partiellement au Burkina Faso dépassant trois mois sont également soumis.","Article 33, Loi 28-2008"
Droit du travail,contrat_travail,Interdiction,L'embauche collective est-elle autorisée ?,L'embauche collective de travailleurs par un contrat unique ou contrat d’équipe est interdite. Un chef de file des employeurs doit être explicitement identifié dans le contrat de travail.,"Article 34, Loi 28-2008"
Droit du travail,contrat_travail,Engagement de l'activité,Quelles sont les obligations du travailleur envers l'employeur ?,"Le travailleur doit : 1. fournir le travail pour lequel il a été embauché et l'exécuter avec soin ; 2. obéir à ses supérieurs hiérarchiques ; 3. respecter la discipline de l'entreprise, les horaires, ainsi que les consignes de sécurité et de santé au travail.","Article 35, Loi 28-2008"
Droit du travail,contrat_travail,Engagement de l'employeur,Quelles sont les obligations de l'employeur envers le travailleur ?,"L'employeur doit : 1. procurer le travail convenu et au lieu convenu ; 2. payer les salaires, indemnités et cotisations sociales dus ; 3. respecter les normes d'hygiène et de sécurité ; 4. traiter le travailleur avec dignité ; 5. veiller au maintien des bonnes mœurs ; 6. interdire toute forme de violence ou de harcèlement ; 7. communiquer les actes d'embauche à l'inspection du travail.","Article 36, Loi 28-2008"
Droit du travail,contrat_travail,Interdiction,Qu'est-ce que le harcèlement sexuel dans le cadre du travail ?,"Le harcèlement sexuel est interdit et consiste à obtenir d’autrui des faveurs de nature sexuelle par ordre, parole, intimidation, acte, geste, menace ou contrainte.","Article 37, Loi 28-2008"
Droit du travail,contrat_travail,Interdiction,Quelle forme de discrimination est interdite par la loi ?,"L’employeur doit s’interdire toute discrimination en matière d’accès à l’emploi, de conditions de travail, de formation professionnelle, de maintien dans l’emploi ou de licenciement, notamment en rapport avec le statut sérologique de l’infection à VIH.","Article 38, Loi 28-2008"
Droit du travail au Burkina Faso,contrat_travail,Modification des contrats de travail en cours,Que doit-il se passer pour un contrat de travail en cours qui n’est pas conforme aux nouvelles dispositions du Code du travail ?,"Toute clause d’un contrat de travail en cours qui n’est pas conforme à la loi n° 28-2008/AN portant Code du travail au Burkina Faso, ou à un acte réglementaire pris pour son application, doit être modifiée dans un délai de six mois. En cas de refus, une juridiction compétente peut ordonner les modifications nécessaires sous peine d’astreinte.","Article 429, loi n° 28-2008/AN du 13 mai 2008 portant Code du travail au Burkina Faso"
Droit du travail,contrat_travail,Nullité,Quelles sont les conséquences d'une clause interdisant au travailleur d'exercer une activité après le contrat ?,"Toute clause interdisant au travailleur d'exercer une activité après le contrat est abusive et nulle, sauf en cas de rupture due au travailleur ou à une faute lourde. Les clauses dont la durée ou la portée géographique ne sont pas justifiées constituent une entrave abusive au libre exercice de l'activité professionnelle du travailleur.","Article 39, Loi 28-2008"
Droit du travail,contrat_travail,Conditions d'emploi,Quels sont les droits des personnes handicapées en matière d'emploi ?,"Les personnes handicapées bénéficient d’emplois adaptés ou, si nécessaire, d’ateliers protégés. Les conditions dans lesquelles les employeurs doivent réserver certains emplois aux personnes handicapées sont fixées par décret en conseil des ministres, après avis de la commission consultative du travail.","Article 40, Loi 28-2008"
Droit du travail,contrat_essai_partielle,Définition de l'engagement,Qu'est-ce qu'un engagement à l'essai ?,L'engagement à l'essai est un accord entre l'employeur et le travailleur pour évaluer la qualité des services du travailleur et les conditions de travail avant de conclure un contrat de travail définitif.,"Article 41, Loi 28-2008"
Droit du travail,contrat_essai_partielle,Durée maximale,Quelle est la durée maximale d'un contrat à l'essai ?,La durée de l’essai est fixée à : 1. 8 jours pour les travailleurs à salaire horaire ou journalier ; 2. 1 mois pour les employés non cadres ; 3. 3 mois pour les cadres et assimilés. L'essai peut être renouvelé une seule fois pour la même durée.,"Article 42, Loi 28-2008"
Droit du travail,contrat_essai_partielle,Reconnaissance automatique,Que se passe-t-il si les services sont prolongés après l'expiration du contrat à l'essai ?,"La prolongation des services après expiration du contrat à l’essai, sans renouvellement écrit, équivaut à un contrat de travail à durée indéterminée prenant effet à la date du début de l’essai.","Article 43, Loi 28-2008"
Droit du travail,contrat_essai_partielle,Conditions de cessation,Comment peut-on mettre fin à un contrat à l’essai ?,"L’engagement à l’essai peut cesser à tout moment, sans préavis ni indemnité, par la volonté de l’une ou l’autre des parties, sauf dispositions contraires spécifiées au contrat.","Article 44, Loi 28-2008"
Droit du travail,contrat_essai_partielle,Exemptions,Quelles dispositions ne s'appliquent pas aux contrats d'engagement à l'essai ?,"Les dispositions des articles 60 à 68, 70 à 74, 78, 93, 96 et 98 à 103 ne s’appliquent pas aux contrats d’engagement à l’essai, qui peuvent être résiliés sans préavis ni indemnité, sauf convention contraire.","Article 45, Loi 28-2008"
Droit du travail,contrat_essai_partielle,Définition du contrat,Qu'est-ce qu'un contrat de travail à temps partiel ?,"Un contrat de travail à temps partiel est un contrat dont la durée d’exécution est inférieure à la durée hebdomadaire légale, et est rémunéré au prorata du temps de travail effectivement accompli.","Article 47, Loi 28-2008"
Droit du travail,contrat_essai_partielle,Conditions de conclusion,Comment sont conclus et résiliés les contrats de travail à temps partiel ?,"Le contrat de travail à temps partiel peut être à durée déterminée ou indéterminée, conclu et résilié dans les mêmes conditions que les contrats de travail à durée déterminée ou indéterminée respectivement.","Article 48, Loi 28-2008"
Droit du travail,contrat_determine,Contrat à durée déterminée,Qu'est-ce qu'un contrat de travail à durée déterminée ?,"Un contrat de travail à durée déterminée est un contrat dont le terme est fixé à l'avance par la volonté des deux parties. Il est établi pour une durée précise, au terme de laquelle il prend fin automatiquement sans qu'il soit nécessaire de donner un préavis.","Article 49, Loi 28-2008"
Droit du travail,contrat_determine,Contrat saisonnier,Quelle est la définition d'un contrat de travail saisonnier ?,"Le contrat de travail saisonnier est un contrat à durée déterminée qui se caractérise par la nature saisonnière de l'activité exercée, comme dans les secteurs agricole, commercial ou touristique. Il prend fin à l'issue de la saison.","Article 50, Loi 28-2008"
